Track URI,Track Name,Artist URI,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms)
spotify:track:01T3JR9vWDonipZhffzHoL,Kyu,spotify:artist:2oBG74gAocPMFv6Ij9ykdo,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Bayaan,29,0.824,0.522,1,-8.523,1,0.0738,0.0758,2.93E-05,0.131,0.313,103.995,308762
spotify:track:4kYxsF4aPM80KfHIRyJy3s,Melody Roja,spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Melody Roja,29,0.833,0.543,4,-6.378,0,0.111,0.059,8.47E-06,0.104,0.284,98.986,234000
spotify:track:4M3zCa0C2XK0OVuSYqbtXk,Nishaniyan,spotify:artist:7ti25GJHIRWZ5f1WN0T2zO,Gravity,42,"['desi hip hop', 'hindi hip hop', 'indian underground rap']",Moonbounce,28,0.914,0.373,8,-9.075,1,0.276,0.11,0,0.094,0.439,129.97,153346
spotify:track:11clKkWeYOKsQpQHAyFz5k,King - Rap Battle #1,spotify:artist:5NHm4TU5Twz7owibYxJfFU,King,70,"['desi pop', 'hindi hip hop']",Mtv Hustle 2.0,29,0.73,0.604,8,-7.057,1,0.0392,0.111,1.33E-06,0.313,0.423,123.866,141487
spotify:track:6HtxhZWccYHCxJrItfrglg,Hopelessly,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Hopelessly,29,0.31,0.332,10,-9.152,0,0.0375,0.73,0.000532,0.0833,0.166,88.714,180013
spotify:track:2MBsYdphfyls2XIrV7H9K7,Plush,spotify:artist:4Ai0pGz6GhQavjzaRhPTvz,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Gunehgar,29,0.46,0.822,1,-2.739,1,0.145,0.0176,0,0.304,0.363,155.603,237677
spotify:track:6M002ndc2zIK6s6imEd2QM,Je Kawta Din - Reprise (Male),spotify:artist:5LZ894xYE9MG1sal0gjt5L,Anupam Roy,56,"['filmi', 'hindi indie', 'indian singer-songwriter', 'kolkata indie', 'west bengali pop']",Dwitiyo Purush (Original Motion Picture Soundtrack),28,0.687,0.191,7,-12.151,1,0.0306,0.926,0.00055,0.1,0.371,106.029,326040
spotify:track:0TxsLZXoHKbadYqKe3xGw7,Abhishek,spotify:artist:1i0XuSVGD5Jb7Spgj7kLbG,Mark Tribhuvan,28,['hindi worship'],Abhishek,28,0.504,0.644,4,-7.965,1,0.0312,0.147,3.72E-06,0.105,0.53,140.375,307692
spotify:track:7rQsbDDLOHom6xpi485rfe,The Biggest Lie,spotify:artist:0tC995Rfn9k2l7nqgCZsV7,Prateek Kuhad,64,"['desi pop', 'folk-pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",The Biggest Lie,30,0.64,0.212,0,-12.903,1,0.0454,0.927,6.34E-06,0.109,0.4,80.073,154580
spotify:track:7wop1sXnlQpf8lQncCVwXR,"Savage (From ""Honey 3.0"")",spotify:artist:7uIbLdzzSEqnX0Pkrb56cR,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Honey 3.0,29,0.89,0.59,9,-7.211,0,0.0889,0.171,0,0.259,0.642,111.984,248581
